author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
J.H. Williams III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 1,Batwoman Vol. 1, Hydrology (The New 52),Hydrology,DC Comics,DC Comics,2013-01-22,2013.0,nan,nan,2016-06-18,0,9781401237844.jpg,https://books.google.ru/books/content?id=BaCRAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237844,1401237843,9781401237844,nan,nan,Paperback,Paperback,144,No,,"A NEW YORK TIMES BESTSELLER As a part of the acclaimed DC Comics„The New 52 event of September 2011, Batwoman's new series finally begins! The creative team of J.H. Williams III and W. Haden Blackman launch the ongoing Batwoman series, as Batwoman (a.ka. Kate Kane) faces deadly new challenges in her war against Gotham City's underworld_and new trials in her personal life. Who or what is stealing children from the barrio, and for what vile purpose? Will Kate train her cousin, Bette Kane (a.k.a. Flamebird), as her new sidekick? How will she handle unsettling revelations about her father, Colonel Jacob Kane? And why is a certain government agency suddenly taking an interest in her? These are some of the questions that will be answered in this long-awaited series! This deluxe hardcover colllect issues 0-5 of Batwoman, part of the DC Comics„The New 52 event.",English,en
J.H. Williams III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 2,Batwoman Vol. 2, To Drown the World (The New 52),To Drown The World,DC Comics,DC Comics,2013-01-22,2012.0,nan,nan,2016-06-18,0,9781401237905.jpg,https://books.google.ru/books/content?id=aaCRAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401237905,1401237908,9781401237905,nan,nan,Hardcover,nan,144,No,,"A NEW YORK TIMES BESTSELLER Six lives, inextricably linked in the past and present, each on a collision course with the others: Batwoman, fighting for duty andvengeance against a threat of arcane power. Detective Maggie Sawyer, investigating a case that could end her career. DEO AgentCameron Chase, commanding a vigilante she despises. Colonel Jacob Kane, clutching at a life that's slipping away. Maro, a newvillain corrupting Gotham City. And Kate Kane, wrestling with decisions that will test her loyalties. J.H. Williams III and W. Haden Blackman continue their stellar BATWOMAN run, joined by senational artists Amy Reeder andTrevor McCarthy! Collecting BATWOMAN #6-11",English,en
J.H. WILLIAMS III,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 3,Batwoman Vol. 3, World's Finest,World's Finest,DC Comics,DC Comics,2013-09-24,2013.0,nan,nan,2016-06-18,0,9781401248345.jpg,https://books.google.ru/books/content?id=PXJzAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401248345,1401248349,9781401242466,nan,nan,,nan,168,No,,"Batwoman's search for Medusa brings her together with the Amazing Amazon, Wonder Woman, but even the teaming of the World's Finest might not be enough to bring down the mythological monster--leading Bones, the DEO, Abbot and the Religion of Crime all descend on Gotham City to take part in the fight. Collects BATWOMAN #12-17, #0.",English,en
JH Williams,"J.H. Williams III, W. Haden Blackman",Batwoman Vol. 4,Batwoman Vol. 4, This Blood is Thick (The New 52),This Blood Is Thick,DC Comics,DC Comics,2014-04-01,nan,nan,nan,2016-06-18,0,9781401246211.jpg,https://books.google.ru/books/content?id=z_cPAwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401246211,1401246214,9781401246211,nan,nan,Hardcover,nan,160,No,,"After taking down Medusa, Batwoman expected her life to get easier. Not so much when caught in the crossfire between Batman and the D.E.O., Department of Extranormal Operations. The organization has their sights set on the Dark Knight, and could be using Batwoman to capture him. But is Batman the true threat? Writers J.H. Williams III and W. Haden Blackman and artist Trevor McCarthy continue their mammoth run on the critically acclaimed title in BATWOMAN VOL. 4: THIS BLOOD IS THICK. Collects BATWOMAN #18-24",English,en
Marc Andreyko,Marc Andreyko,Batwoman Vol. 5,Batwoman Vol. 5, Webs (The New 52) (Batwoman: The New 52!),Webs,DC Comics,DC Comics,2014-12-02,nan,nan,nan,2016-06-18,0,9781401250829.jpg,https://books.google.ru/books/content?id=9_hfBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401250829,1401250823,9781401250829,nan,nan,Paperback,nan,272,No,,"Kate Kane's life has always been one of intrigue and adventure, but since she took on the mantle of Batwoman, things have been in overdrive with no sign of slowing down! Join us as Batwoman starts her next chapter and faces a threat that might just have her rethinking her career as a hero! But her life as a hero isnÍt KateÍs only concern, as Maggie has a surprising revelation and her very angry ex-husband shows up! Can Kate and Maggie work together to discover the secret of the Wolf Spider? Collects BATWOMAN ANNUAL #1 and BATWOMAN #25-34.",English,en
Marc Andreyko,Marc Andreyko,Batwoman Vol. 6,Batwoman Vol. 6: The Unknowns, The Unknowns (The New 52),nan,DC Comics,DC,2015-07-28,nan,nan,nan,2017-04-06,0,9781401254681.jpg,https://books.google.com/books/content?id=TBzVCQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401254681,1401254683,9781401254681,nan,nan,Paperback,nan,208,No,,"Meet The Unknowns... Clayface: a desperate man driven to madness and monstrosity by a magical artifact that transformed him into a shapeshifting killer. Ragman: a guardian of Gotham City whose supernatural suit is woven from a thousand lost souls. Etrigan the Demon: a prince of Hell bonded to a human host a millennium ago, desperate to free himself ever since. And Batwoman: a crimefighter whose alter ego, Kate Kane, may have just lost the love of her life, only to find passion in the arms of a creature of the night. Heroes, villains, something in between-to each of them, the others are a complete unknown.But an ancient evil has returned from beyond the grave: Morgan Le Fey, the mad witch who destroyed King Arthur's Camelot and would do the same to all civilization.It's an evil this fearsome foursome can only stop together-if they don't tear each other apart first...",English,en
Brian Azzarello,Brian Azzarello; Lee Bermejo,Before Watchmen,Before Watchmen, Comedian/Rorschach (Beyond Watchmen),Comedian/Rorschach,DC Comics,DC Comics,2013-07-16,2013.0,nan,nan,2016-06-18,0,9781401238933.jpg,nan,nan,9781401238933,1401238939,9781401238933,nan,nan,Hardcover,Hardcover,256,No,,nan,English,en
Darwyn Cooke,Darwyn Cooke; Amanda Conner,Before Watchmen,Before Watchmen, Minutemen/Silk Spectre (Beyond Watchmen),Minutemen/Silk Spectre,DC Comics,nan,2013-07-02,2013.0,nan,nan,2016-06-18,0,9781401238926.jpg,nan,nan,9781401238926,1401238920,9781401238926,nan,nan,Hardcover,Hardcover,288,No,,nan,English,en
J. Michael Straczynski,Adam Hughes; Joe Kubert,Before Watchmen,Before Watchmen, Nite Owl/Dr. Manhattan (Beyond Watchmen),Nite Owl/Dr. Manhattan,DC Comics,Diamond Comics,2013-07-16,2013.0,nan,nan,2016-06-18,0,9781401238940.jpg,nan,nan,9781401238940,1401238947,9781401238940,nan,nan,Hardcover,Hardcover,288,No,,nan,English,en
Len Wein,Len Wein; Jae Kyu Lee; John C. Higgins,Before Watchmen,Before Watchmen, Ozymandias/Crimson Corsair (Beyond Watchmen),Ozymandias/Crimson Corsair,DC Comics,nan,2013-07-02,2013.0,nan,nan,2016-06-18,0,9781401238957.jpg,nan,nan,9781401238957,1401238955,9781401238957,nan,nan,Hardcover,Hardcover,256,No,,nan,English,en
