author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Eugen Herrigel,Zen I Bågskyttets Konst,,,,,,1989.0,Hardcover,,Bergh,placeholder.png,,,9789150209976.0,,
Evelyn Anthony,Dockorna,,,,,,1992.0,Hardcover,,Bonnierförlagen,placeholder.png,,,,9100554073,
Fedor Michajlovic Dostoevskij,Idioten,,,,,,1991.0,Hardcover,,Wahlström & Widstrand,placeholder.png,,,,9146156968,
Fedor Michajlovic Dostoevskij,Ynglingen,,,,,,1989.0,Hardcover,,Wahlström & Widstrand,placeholder.png,,,,9146154930,
Fedor Michajlovic Dostoevskij; J.G. Ballard,Bröderna Karamazov,,,,,,1986.0,Hardcover,,Wahlström & Widstrand,placeholder.png,,,,9146161958,
Frans G. Bengtsson,Röde Orm,,,,,,1983.0,Hardcover,,Norstedts,placeholder.png,,,9789117917029.0,,
Gene Brewer,Mannen Från K-Pax,,,,,,1997.0,,,Månpocket,placeholder.png,,,9789176433775.0,,
Gene Wolfe,Autarkens Citadell,Den Nya Solens Bok 4,,,,,1997.0,Paperback,,Bra Böcker,placeholder.png,,,9789171333001.0,,
Gene Wolfe,Liktorns Svärd,Den Nya Solens Bok 3,,,,,1996.0,Paperback,,Bra Böcker,placeholder.png,,,9789170248474.0,,
Gene Wolfe,Torterarens Skugga & Medlarens Klo,Den Nya Solens Bok 1 & 2,,,,,1992.0,Hardcover,,Wiken,placeholder.png,,,9789170248450.0,,
George Johansson,Universums Öde,,,,,,1992.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148520281.0,,
George Lucas; Donald F. Glut; James Kahn,The Star Wars Trilogy,,,,,,1993.0,Mass Market Paperback,,Del Rey,placeholder.png,,,9780345384386.0,,
George Orwell,1984,Nitton Åttiofyra,Nineteen Eighty-Four,,,,2001.0,Paperback,,Atlantis,placeholder.png,,,9789174865417.0,,
George Orwell,Djurens Gård,,Animal Farm,,,,2010.0,,,Atlantis,placeholder.png,,,9789173534277.0,,
George R. R. Martin,Riddaren av de sju konungarikena,,,,,,,,,Bokförlaget Forum,9789137145372.jpg,,,9789137145372.0,,"Drakkungarnas dynasti och den vandrande riddaren Tiden är 90 år före ”Kampen om järntronen”, första boken i Sagan om is och eld, och än sitter huset Targaryen på järntronen, Aerys I Targaryen är kung och lord Brynden Flod, som är oäkta son till Aegon IV, är hans hand. Ett visst lugn råder i de sju konungarikena efter striden vid Rödgräsfältet och Daemon Svartfyrs misslyckade uppror. Men kampen har bara börjat mellan oäkta och äkta söner inom drakens dynasti. Den sjuttonårige Dunk är ser Arlans väpnare. Dunk är över två meter lång, bredaxlad och stark, men inte så begåvad å huvudets vägnar. Han härstammar från Loppsänkan och kan inte läsa och skriva. Dock har ser Arlan lärt honom vapenkonst och höviskt uppträdande samt dubbat honom till riddare. När ser Arlan dör får Dunk ta över hans hästar, ringbrynja, långsvärd, dolk och sköld samt lite silverpengar. Dunk kallar sig ser Duncan den store och bege sig till Askvadet för att delta i en tornering. På ett värdshus stöter Dunk på en pojke med rakat huvud och violblå ögon, åtta nio år gammal, som absolut vill bli hans väpnare. Till en början är Dunk ointresserad men pojken gör sig nyttig och till slut faller Dunk till föga. Pojken som kallar sig Egg är inte den simpla värdshuspojke som Dunk först trodde utan han är klipsk, har bildning och en ingående kännedom om de olika adelshusen. När Dunk av en slump hamnar i konflikt med prinsarna av huset Targaryen, visar sig Egg vara en oumbärlig vapendragare. I tre kortromaner får vi följa Dunks och Eggs äventyr i de sju konungarikena. Översättare:Louise Thulin, Omslagsformgivare:Anders Timrén"
George R.R. Martin,Drakarnas Dans,Sagan Om Is Och Eld 5,A Dance With Dragons,,,,2012.0,Hardcover,,Bokforlaget Forum,placeholder.png,,,9789137137704.0,,
George R.R. Martin,Kampen Om Järntronen,Sagan Om Is Och Eld 1,A Game of Thrones,,,,2011.0,Paperback,,Månpocket,placeholder.png,,,9789175030517.0,,
George R.R. Martin,Kråkornas Fest,Sagan Om Is Och Eld 4,A Feast For Crowes,,,,2012.0,Hardcover,,FORUM,placeholder.png,,,9789137137698.0,,
George R.R. Martin,Kungarnas Krig,Sagan Om Is Och Eld 2,A Clash Of Kings,,,,2011.0,Paperback,,Månpocket,placeholder.png,,,9789175030524.0,,
George R.R. Martin,Svärdets Makt,Sagan Om Is Och Eld 3,A Storm Of Swords,,,,2011.0,Paperback,,Månpocket,placeholder.png,,,9789175030531.0,,
Georges Simenon,Maigret I Paris,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100575236.0,,
Giorgio Faletti,Jag Dödar,,Io uccido,,,,2008.0,Paperback,,Bazar,placeholder.png,,,9789170281631.0,,
Giorgio Faletti,Jag Är Gud,,Io Sono Dio,,,,2011.0,Paperback,,Bazar,placeholder.png,,,9789170282621.0,,
Giorgio Faletti,Ögat Som Ser,,Niente di vero tranne gli occhi,,,,2010.0,Paperback,,Bazar,placeholder.png,,,9789170282171.0,,
Glenna Mcreynolds,Kalken Och Svärdet,,,,,,2000.0,,,Wahlström & Widstrand,placeholder.png,,,9789146175803.0,,
Graham Greene,Mordvapen Till Salu,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100576295.0,,
Greg Bear,Eon,,Eon,,,,1990.0,Hardcover,,Wiken,placeholder.png,,,,9170246076,
Guy Gavriel Kay,Den Brinnande Stenen,Fionavars Vävnad Del 2,,,,,1989.0,Hardcover,,Raben & Sjogren,placeholder.png,,,9789129590609.0,,
Guy Gavriel Kay,Solens Sista Strålar,,,,,,2006.0,Hardcover,,Onsdag,placeholder.png,,,9789197543354.0,,
Göran Hassler,Århundradets Ordmusik,från Anders Österling till Lars Forssell : en antologi,,,,,1991.0,,,Litteraturfrämjandet,placeholder.png,,,9789174486469.0,,
Gösta Pettersson,Vådaskottet,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100576868.0,,
Hans Alfredson,De döda kring Maria,,,,,,2000.0,Hardcover,,Bonnierförlagen,placeholder.png,,,,9143022146,
Harlan Coben,Berätta Inte För Någon,,Tell No One,,,,2003.0,Hardcover,,FORUM,placeholder.png,,,9789137118635.0,,
Harlan Coben,Borta För Alltid,,Gone for Good,,,,2003.0,Hardcover,,FORUM,placeholder.png,,,9789143023190.0,,
Harlan Coben,Ett Enda Ögonblick,,Just One Look,,,,2005.0,Hardcover,,FORUM,placeholder.png,,,9789137126630.0,,
Harlan Coben,Främlingen,,,,,,,,,Bookmark Förlag,9789188345110.jpg,Swedish,,9789188345110.0,,"Spänningens mästare levererar en chockerande thriller om lögnens makt och förbannelse. Främlingen dyker upp från ingenstans. Hans identitet och motiv är okända. Men informationen han bär på är obestridlig. Han viskar några ord i ditt öra och försvinner medan din värld rasar samman. Adam Price är gift med en vacker kvinna, har två underbara söner, ett välbetalt jobb och ett stort hus. Han har ett perfekt liv tills han möter främlingen. Snart inser Adam att hans äktenskap är baserat på en mörk lögn, och han dras in i en konspiration där människoliv står på spel. Främlingen skildrar på ett skrämmande sätt vilka krafter som kan släppas lösa när den lögn som våra liv bygger på plötsligt avslöjas. Det är en mörk thriller om människans behov att uppnå sina mål till vilket pris som helst. ""Främlingen är en välskriven, nedtonad och medryckande thriller med engagerande intrig."" BTJ ""Harlan Coben är en omåttligt spännande underhållare."" Lotta Olsson, Dagens Nyheter ""Som alltid skriver Coben en tät och sannolik historia i korta, koncentrerade kapitel."" DAST Magazine ""Det är en fartfylld berättelse med många vändningar. Läs boken!"" Cinnamon Books ""Främlingen kan sälla sig till resten av Harlan Cobens grupp av fantastiska thrillers."" A Bookaholic Swede ""Spännande, skrämmande och väldigt fängslande!"" Jennies boklista ""Lättläst, spännande och med ett bra tempo i berättelsen."" Boklysten ""En sann bladvändare med nagelbitande spänning och många oväntade tvister."" Midnatts ord ""Väldigt underhållande."" Publishers Weekly ""En rafflande thriller."" Huffington Post ""En av hans bästa."" Kirkus"
Harlan Coben,Ingen Andra Chans,,No Second Chance,,,,2005.0,Hardcover,,FORUM,placeholder.png,,,9789137127453.0,,
Harlan Coben,Spelaren,,Deal Breaker,,,,2010.0,,,Pocketförlaget,placeholder.png,,,9789186369378.0,,
Harper Lee,Dödssynden,to kill a mockingbird,To Kill A Mockingbird,,,,2010.0,Paperback,,Bonnier,placeholder.png,,,9789174291292.0,,
Helena Andersson,Ett Ögonblick I Sänder,,,,,,2013.0,,,Recito,placeholder.png,,,9789175175096.0,,
Helena Poloni,Mord I Barm,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100574918.0,,
Henning Mankell,Brandvägg,,,,,,1998.0,,,Ordfront förlag,placeholder.png,,,9789173246194.0,,
Henning Mankell,Den Femte Kvinnan,,,,,,1997.0,,,Ordfront,placeholder.png,,,9789173245609.0,,
Henning Mankell,Den Vita Lejoninnan,,,,,,1997.0,,,Bonnierförlagen,placeholder.png,,,9789143021394.0,,
Henning Mankell,Hundarna I Riga,,,,,,1998.0,,,Ordfront,placeholder.png,,,,9173244664,
Henning Mankell,Mannen Som Log,,,,,,1995.0,,,Ordfront,placeholder.png,,,9789173244909.0,,
Henning Mankell,Mördare Utan Ansikte,,,,,,1994.0,,,Ordfront,placeholder.png,,,9789173244657.0,,
Henning Mankell,Steget Efter,,,,,,1998.0,,,Ordfront,placeholder.png,,,9789173246040.0,,
Henning Mankell,Villospår,,,,,,1996.0,,,Bonnierförlagen,placeholder.png,,,9789143020861.0,,
Hjalmar Söderberg,Den Allvarsamma Leken,,,,,,1991.0,Hardcover,,Bonnier,placeholder.png,,,9789100552442.0,,
Hjalmar Söderberg,Doktor Glas,Historietter,,,,,1991.0,Hardcover,,Bonnier,placeholder.png,,,9789100552466.0,,
Hjalmar Söderberg,Förvillelser,,,,,,1991.0,Hardcover,,Bonnier,placeholder.png,,,9789100552480.0,,
Hjalmar Söderberg,Martin Bircks Ungdom,,,,,,1991.0,Hardcover,,Bonnier,placeholder.png,,,9789100552527.0,,
Howard Pyle,Robin Hood,De laglösas muntra äventyr i Sherwoodskogen,,,,,1999.0,Hardcover,,Klassikerförl.,placeholder.png,,,9789171024541.0,,
Hugh Howey,Ull,,Wool,,,,2012.0,,,,placeholder.png,,,9789113067506.0,,
Ian Rankin,Adress Fleshmarket Close,,,,,,2006.0,,,FORUM,placeholder.png,,,9789137129501.0,,
Ian Rankin,Blodsband,,,,,,2005.0,,,FORUM,placeholder.png,,,9789137126418.0,,
Ian Rankin,Botgörarna,,,,,,2004.0,,,FORUM,placeholder.png,,,9789137123899.0,,
Ian Rankin,Den Hängande Trädgården,,,,,,2000.0,Hardcover,,FORUM,placeholder.png,,,9789137116709.0,,
Ian Rankin,Fallen,,,,,,2003.0,,,FORUM,placeholder.png,,,9789137121994.0,,
Ian Rankin,Förlorade Själar,,,,,,2001.0,,,FORUM,placeholder.png,,,9789137118505.0,,
Ian Rankin,I De Dödas Namn,,,,,,2007.0,,,Bonnierförlagen,placeholder.png,,,9789143024944.0,,
Ian Rankin,När Mörkret Faller,,,,,,2002.0,,,FORUM,placeholder.png,,,9789137120683.0,,
Ian Rankin,Rebus Sista Fall,,,,,,2008.0,,,Minotaur,placeholder.png,,,9789185283842.0,,
Ian Rankin,Öppet Hus,,Doors Open,,,,2010.0,Paperback,,Månpocket,placeholder.png,,,9789170017704.0,,
Isaac Asimov,Den Okända Lagen,,Robots And Empire,,,,1988.0,Paperback,,Legenda,placeholder.png,,,9789158212220.0,,
Isaac Asimov,Destination Hjärnan,,"Fantastic Voyage II, Destination Brain",,,,1989.0,Paperback,,Legenda,placeholder.png,,,9789158215269.0,,
Isaac Asimov,Död Robot,,The Robots Of Dawn,,,,1988.0,Paperback,,Legenda,placeholder.png,,,9789158212206.0,,
Isaac Asimov,Dömd Planet,,The Currents Of Space,,,,1986.0,Paperback,,Legenda,placeholder.png,,,9789158208308.0,,
Isaac Asimov,Främling i Paradiset,,The Bicentennial Man,,,,1977.0,Hardcover,,Plus,placeholder.png,,,,9174060619,
Isaac Asimov,Förbjuden Värld,,Pebble in the Sky,,,,1979.0,,,Kindberg,placeholder.png,,,9789185668069.0,,
Isaac Asimov,Hari Seldon Och Stiftelsen,,Forward the Foundation,,,,1994.0,,,Legenda/Natur och kultur,placeholder.png,,,9789127035416.0,,
Isaac Asimov,"Jag, Robot",,,,,,1978.0,Hardcover,,Delta,placeholder.png,,,,72280042,
Isaac Asimov,Landsflykt I Helvetet,,Buy Jupiter,,,,1976.0,Hardcover,,Plus,placeholder.png,,,,9174060058,
Isaac Asimov,Lucky Starr På Merkurius,,Lucky Starr And The Big Sun Of Mercury,,,,1980.0,Paperback,,Litteraturfrämjandet,placeholder.png,,,9789174481143.0,,
Isaac Asimov,Nemesis,,Nemesis,,,,1991.0,Hardcover,,Legenda,placeholder.png,,,,9158216545,
Isaac Asimov,Preludium Till Stiftelsen,,Prelude to Foundation,,,,1990.0,Hardcover,,Legenda,placeholder.png,,,,9158214127,
Isaac Asimov,Robotdrömmar 1,,Robot Dreams,,,,1989.0,Hardcover,,Legenda,placeholder.png,,,,9158213422,
Isaac Asimov,Robotdrömmar 2,,Robot Dreams,,,,1990.0,Hardcover,,Legenda,placeholder.png,,,,9158215018,
Isaac Asimov,Själva Gudarna,,The Gods Themselves,,,,1978.0,Paperback,,Delta,placeholder.png,,,9789172281660.0,,
Isaac Asimov,Stiftelsen Och Jorden,,Foundation And Earth,,,,1989.0,Paperback,,Legenda,placeholder.png,,,9789158214538.0,,
Isaac Asimov,Stiftelsen Och Tiden,,Foundation's Edge,,,,1987.0,Paperback,,Legenda,placeholder.png,,,9789158211421.0,,
Isaac Asimov,Stiftelsetrilogin,,,,,,1987.0,,,Legenda,placeholder.png,,,9789158211414.0,,
Isaac Asimov,Stålgrottorna,,Tha Caves Of Steele,,,,1973.0,Paperback,,Lindfors,placeholder.png,,,9789172680142.0,,
Isaac Asimov,Tidens Död,,The End Of Eternity,,,,1986.0,Paperback,,Legenda,placeholder.png,,,9789158208292.0,,
Isaac Asimov,Världar I Krig,,"The Stars, Like Dust",,,,1954.0,Paperback,,Lindqvist,placeholder.png,,,,,
Isaac Asimov; Robert Silverberg,Den lille fule pojken,,The Ugly Little Boy,,,,1996.0,Hardcover,,Legenda,placeholder.png,,,9789127040953.0,,
Isaac Asimov; Robert Silverberg,Stjärnmörker,,Nightfall,,,,1992.0,Hardcover,,Legenda,placeholder.png,,,,9127031934,
J.D. Robb,Naken I Döden,,,,,,2001.0,,,Replik,placeholder.png,,,9789188818621.0,,
J.R.R. Tolkien,Bilbo,En hobbits äventyr,,,,,1979.0,Hardcover,,Rabén & Sjögren,placeholder.png,,,9789129536331.0,,
J.R.R. Tolkien,De Förlorade Sagornas Bok 1,,,,,,1995.0,Paperback,,PAN/Norstedt,placeholder.png,,,9789119516510.0,,
J.R.R. Tolkien,De Förlorade Sagornas Bok 2,,,,,,1995.0,Paperback,,PAN/Norstedt,placeholder.png,,,9789119516619.0,,
J.R.R. Tolkien,Gillis Bonde Från Ham,,,,,,1985.0,Hardcover,,AWE/Geber,placeholder.png,,,9789120074221.0,,
J.R.R. Tolkien,Härskarringen,,,,,,1992.0,Hardcover,,Norstedt,placeholder.png,,,9789119216328.0,,
J.R.R. Tolkien,Hürins Barn,,The Children Of Hürin,,,,2007.0,Hardcover,,Norstedt,placeholder.png,,,9789113017228.0,,
J.R.R. Tolkien,Sagan Om De Två Tornen,,,,,,1983.0,Paperback,,AWE /Gebers,placeholder.png,,,9789120071305.0,,
J.R.R. Tolkien,Sagan Om Konungens Återkomst,,,,,,1983.0,Paperback,,AWE / Gebers,placeholder.png,,,9789120071312.0,,
J.R.R. Tolkien,Sagan Om Ringen,,,,,,1983.0,Paperback,,AWE/Geber,placeholder.png,,,9789120071299.0,,
J.R.R. Tolkien,Sagor Från Midgård,,,,,,1989.0,Hardcover,,AWE/Geber,placeholder.png,,,9789120077437.0,,
J.R.R. Tolkien,Silmarillion,,,,,,2000.0,Hardcover,,PAN Norstedt,placeholder.png,,,9789172630727.0,,
J.T. Krul,Salvation,,,,,,2012.0,,,DC Comics,placeholder.png,,,9781401233945.0,,
James Blish,Fåglarnas Värld,,,,,,1977.0,,,Delta,placeholder.png,,,9789172281530.0,,
James Ellroy,Blodröd Måne,,Blood On The Moon,,,,2000.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171334817.0,,
James Ellroy,Browns Rekviem,,Brown's Requiem,,,,1999.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171336064.0,,
James Ellroy,Den Stora Tomheten,,The Big Nowhere,,,,1996.0,Paperback,,Bra Böcker,placeholder.png,,,9789171332875.0,,
James Ellroy,Den Svarta Dahlian,,,,,,1996.0,Paperback,,Bra b,placeholder.png,,,9789171332868.0,,
James Ellroy,En Amerikansk Myt,,American Tabloid,,,,1999.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171335210.0,,
James Ellroy,Los Angeles Konfidentiellt,,,,,,1995.0,,,Bra Böcker,placeholder.png,,,9789171196743.0,,
James Ellroy,Mördare På Drift,,Killer On The Road,,,,2005.0,Hardcover,,Bra Böcker,placeholder.png,,,9789170020483.0,,
James Ellroy,Nattens Riken,,Because The Night,,,,2002.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171334893.0,,
James Ellroy,Nåd För De Döda,,Suicide Hill,,,,2003.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171334879.0,,
James Ellroy,Oroligt Blod,,Blood's A Rover,,,,2010.0,,,Bra Böcker,placeholder.png,,,9789170028328.0,,
James Ellroy,Sextusen Kalla,,The Cold Six Thousand,,,,2001.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171337115.0,,
James Ellroy,Vit Jazz,,,,,,1995.0,Paperback,,Bra Böcker,placeholder.png,,,9789171193315.0,,
James Welch,Indianens Dröm,,,,,,1992.0,,,Wiken,placeholder.png,,,9789171191960.0,,
Jan Guillou,Riket Vid Vägens Slut,,,,,,2000.0,,,Piratforl.,placeholder.png,,,9789189426023.0,,
Jan Guillou,Tempelriddaren,,,,,,2007.0,Hardcover,,Bonnierförlagen,placeholder.png,,,,914302213,
Jan Guillou,Vägen Till Jerusalem,,,,,,1999.0,,,Norstedt,placeholder.png,,,9789113006048.0,,
Jean C. Cooper,Taoismen,en introduktion,,,,,1992.0,,,Wahlström & Widstrand,placeholder.png,,,9789146162278.0,,
Jeff Noon,Vurt,,,,,,1996.0,,,Bonnier,placeholder.png,,,9789100560737.0,,
Jeffery Deaver,Dans Med Döden,,The Coffin Dancer,,,,2000.0,Hardcover,,Norstedt,placeholder.png,,,9789113007137.0,,
Jeffery Deaver,Den Tomma Stolen,,The Empty Chair,,,,2001.0,Hardcover,,Norstedt,placeholder.png,,,9789113009568.0,,
Jeffery Deaver,I Samlarens Spår,,The Bone Collector,,,,1998.0,Hardcover,,Norstedt,placeholder.png,,,9789113003153.0,,
Jeffery Deaver,Mannen Som Försvann,,The Vanished Man,,,,2004.0,Hardcover,,Norstedt,placeholder.png,,,9789113012698.0,,
Jeffery Deaver,Stenapan,,The Stone Monkey,,,,2003.0,Hardcover,,Norstedt,placeholder.png,,,9789113010755.0,,
Jennifer Roberson,Den Vita Vargen,Profetian Om Cheysuli 4,,,,,1997.0,Hardcover,,Richter,placeholder.png,,,9789177052678.0,,
Jennifer Roberson,Homanas Sång,Profetian Om Cheysuli 2,,,,,1996.0,Hardcover,,Richter,placeholder.png,,,9789177052630.0,,
Jennifer Roberson,I Djurskepnad,Profetian Om Cheysuli 1,,,,,1996.0,Hardcover,,Richter,placeholder.png,,,9789177052616.0,,
Jennifer Roberson,Korpens Flykt,Profetian Om Cheysuli 7,,,,,1998.0,Hardcover,,Richter,placeholder.png,,,9789177052739.0,,
Jennifer Roberson,Lejonets Dotter,Profetian Om Cheysuli 6,,,,,1997.0,Hardcover,,Richter,placeholder.png,,,9789177052715.0,,
Jennifer Roberson,Lejontronen,Profetian Om Cheysuli 8,,,,,1998.0,Hardcover,,Richter,placeholder.png,,,9789177052753.0,,
Jennifer Roberson,Prinsars Högmod,Profetian Om Cheysuli 5,,,,,1997.0,Hardcover,,Richter,placeholder.png,,,9789177052692.0,,
Jennifer Roberson,Svärdets Härskare,Profetian Om Cheysuli 3,,,,,1996.0,Hardcover,,Richter,placeholder.png,,,9789177052654.0,,
Jerome David Salinger,Räddaren i nöden,,The Catcher in the rye,,,,,,,,placeholder.png,,,9789174293814.0,,
Jevgenij Zamjatin,VI,,,,,,1924.0,,,,placeholder.png,,,9789177011255.0,,
Jill Norman,Exotiska Kryddor,,,,,,1989.0,Hardcover,,Bonnier,placeholder.png,,,9789134510623.0,,
Jill Norman,Teer & Örtdrycker,,,,,,1989.0,Hardcover,,Bonnier,placeholder.png,,,9789134510654.0,,
Jim Garrison,JFK,Jakten På Kennedys Mördare,,,,,1992.0,Hardcover,,FORUM,placeholder.png,,,9789137101323.0,,
Jo Nesbø,Frälsaren,,,,,,2007.0,Hardcover,,Bonnierförlagen,placeholder.png,,,9789143024814.0,,
Joe Abercrombie,Det Lockande Stålet,Bok 1,The Blade Itself,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173514965.0,,
Joe Abercrombie,Det Lockande Stålet,Bok 2,The Blade Itself,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173514972.0,,
Joe Abercrombie,Det Yttersta Argumentet,Bok 1,Last Argument of Kings,,,,2011.0,Hardcover,,Damm,placeholder.png,,,9789173517324.0,,
Joe Abercrombie,Det Yttersta Argumentet,Bok 2,Last Argument of Kings,,,,,Hardcover,,,placeholder.png,,,9789173517331.0,,
Joe Abercrombie,En God Fiende,Bok 1,Best Served Cold,,,,2012.0,Hardcover,,Damm,placeholder.png,,,9789173518307.0,,
Joe Abercrombie,En God Fiende,Bok 2,Best Served Cold,,,,2012.0,Hardcover,,Damm,placeholder.png,,,9789173518314.0,,
Joe Abercrombie,Man Bör Förlåta,Bok 1,Before they are Hanged,,,,2010.0,Hardcover,,Damm,placeholder.png,,,9789173516501.0,,
Joe Abercrombie,Man Bör Förlåta,Bok 2,Before they are Hanged,,,,2010.0,Hardcover,,Damm,placeholder.png,,,9789173516518.0,,
Joe Hill,En Hjärtformad Ask,,,,,,2007.0,,,Prisma,placeholder.png,,,9789151848358.0,,
Johanne Hildebrandt,Idun,sagan om Valhalla,,,,,2003.0,,,FORUM,placeholder.png,,,9789137121758.0,,
John Dickson Carr,Den Ihålige Mannen,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100575205.0,,
John Dickson Carr,Det Krökta Gångjärnet,,,,,,2002.0,,,Bonnier,placeholder.png,,,9789100579043.0,,
John Grisham,Brödraskapet,,,,,,2000.0,,,Bonnier,placeholder.png,,,9789100569259.0,,
John Grisham,Domen,,,,,,2004.0,,,Bonnierförlagen,placeholder.png,,,9789143023435.0,,
John Grisham,Försvararen,,,,,,1999.0,,,Bonnierförlagen,placeholder.png,,,9789143021882.0,,
John Heider,Ledarskapets Tao,Lao Tzus Tao Te Ching anpassad till en ny tid,,,,,1990.0,,,Wahlström & Widstrand,placeholder.png,,,9789146158066.0,,
John Irving,Ciderhusreglerna,,,,,,1986.0,,,Wahlström & Widstrand,placeholder.png,,,9789146153559.0,,
John Irving,En Bön För Owen Meany,,,,,,1990.0,,,Månpocket,placeholder.png,,,9789176425909.0,,
John Irving,Garp Och Hans Värld,,,,,,1983.0,,,Wahlström & Widstrand,placeholder.png,,,9789146135999.0,,
John Le Carre,3 X Smiley,,,,,,1994.0,,,Bonnier,placeholder.png,,,9789100557843.0,,
John Varley,Titan,,,,,,1981.0,,,Delta,placeholder.png,,,9789172282506.0,,
Jonathan Kellerman,Blodsband,,,,,,2003.0,,,Prisma,placeholder.png,,,9789151840376.0,,
Jonathan Kellerman,Mordboken,,,,,,2004.0,Hardcover,,Prisma,placeholder.png,,,9789151842134.0,,
Joseph Conrad,Mörkrets hjärta,novellen Pionjärerna,,,,,2008.0,,,Modernista,9789185379064.jpg,,,9789185379064.0,,"Mörkrets hjärta av Joseph Conrad brukar kallas den bästa korta roman som någonsin skrivits på engelska. Joséf Konrad Korzeniowski [1857-1924], född i ryska Ukraina av polska föräldrar, gick till sjöss som sjuttonåring och slutade som kapten i engelska handelsflottan. Efter en svår febersjukdom bosatte han sig i England och började skriva romaner. En av dem blev en odödlig klassiker: Mörkrets hjärta [1902], baserad på Conrads förstahandserfarenhet av den europeiska exploateringen av Kongo. Conrad skickades faktiskt en gång själv uppför Kongofloden för att leta upp en landsman på en handelsstation djupt inne i landet  även om nu denne inte hette Kurtz; som kom att bli en av historiens mest oförglömliga fiktiva gestalter, förkroppsligad av Marlon Brando i Francis Ford Coppolas filmatisering av romanen. Mörkrets hjärta utgör en brygga mellan 1800-talet och modernismen. Som äventyrsberättelse närmar den sig en mångtydig natur hos teman som sanning, moral och ondska, filtrerad genom en röst vars pålitlighet som uttolkare av händelseförloppet blir en öppen fråga för läsaren. I översättning av Margaretha Odelberg."
Joseph Heller,God Som Guld,,,,,,1983.0,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146142843.0,,
Joseph Heller,Gud Vet,,,,,,1985.0,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146149477.0,,
Joseph Heller,Nånting Har Hänt,,,,,,1980.0,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146137634.0,,
Joseph Heller,Se Bilden,,,,,,1989.0,Paperback,,Wahlström & Widstrand,placeholder.png,,,9789146154761.0,,
Joseph Heller,Slutspel,,,,,,1995.0,,,Gedin,placeholder.png,,,9789179641658.0,,
Joseph Wambaugh,Hollywood Station,,Hollywood Station,,,,2009.0,Hardcover,,Ordupplaget,placeholder.png,,,9789185785407.0,,
Joseph Wambaugh,Hollywoods Kråkor,,Hollywood Crows,,,,2010.0,Hardcover,,Ordupplaget,placeholder.png,,,9789185785452.0,,
Justin Cronin,De Första Tolv,,,,,,2014.0,,,Norstedt,placeholder.png,,,9789113056494.0,,
Justin Cronin,Flickan Från Ingenstans,,The Passage,,,,2012.0,Paperback,,Norstedt,placeholder.png,,,9789113045474.0,,
Justin Cronin,Spegelstaden,,,,,,,,,Norstedts,9789113082790.jpg,,,9789113082790.0,,"Efter Flickan från Ingenstans och De första tolv kommer nu Spegelstaden, den avslutande delen i Justin Cronins Passagetrilogi. En spillra av mänskligheten har överlevt den stora epidemin och klarat sig undan viralernas intåg (viraler är människor som blivit smittade av ett dödligt virus och påminner om vampyrer). De få överlevande människorna har nu bott på en skyddad plats i Texas i tjugo års tid och hunnit föröka sig och blivit några tusen. Efter att De första tolvs skräckvälde har störtats och de viraler som tillhörde dem tillintetgjorts (seriens andra del) lever människorna i tron att viralerna utrotats och de börjar så småningom flytta från sitt säkra muromgärdade område och breda ut sig över landet. Men det finns viraler kvar som håller sig gömda och bidar sin tid. Och fadern till De första tolv, Fanning, Noll kallad, har också överlevt. Hans raseri kan endast kväsas den dag då han kan förgöra Amy, Flickan från ingenstans, i ett sista slag mot mänskligheten. Amy har även hon smittats men vet att hon utsetts till att möta Noll i slaget mellan människorna och viralerna och hon förbereder sig nu på att utmana honom."
Karin Boye,Dikter,,,,,,1994.0,,,Bonnier,placeholder.png,,,9789100550837.0,,
Karin Boye,"Dikter, Kallocain, Kris",,,,,,1992.0,,,Bonniers,placeholder.png,,,9789100553333.0,,
Katharine Kerr,Alvblodet,Femte boken om det magiska landet Deverry,,,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,9789100564377.0,,
Katharine Kerr,Blodsfränder,Tionde boken om det magiska landet Deverry,,,,,1999.0,Hardcover,,Bonnier,placeholder.png,,,9789100568948.0,,
Katharine Kerr,Draktronen,Tredje boken om det magiska landet Deverry,,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,9789100562380.0,,
