"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"År 2001","en rymdodyssé","Arthur C. Clarke","M","1988","","","2016-06-18","0","","","9789176424308","","","Paperback","Yes",""
"Embryo","","Arthur C. Clarke; Gentry Lee","Prisma","1990","Cradle","","2016-06-18","0","","","9789151821382","","","Hardcover","No",""
"Rama II","","Arthur C. Clarke; Gentry Lee","Wiken","1991","Rama II","","2016-06-18","0","","","9170247579","","","Hardcover","Yes",""
"Ramas Lustgård","","Arthur C. Clarke; Gentry Lee","Wiken","1992","The Garden Of Rama","","2016-06-18","0","","","9170247595","","","Hardcover","No",""
"Hymn","","Ayn Rand","Lindfors","1983","","","2016-06-18","0","","","9789172680777","","","Hardcover","Yes",""
"Rain","Samuraj I Skuggorna","Barry Eisler","Bra B�cker","2003","Rain Fall","","2016-06-18","0","","","9789171338716","","","Hardcover","No",""
"Döden Och Gycklarna","en moralitet","Barry Unsworth","Natur och kultur","1997","","","2016-06-18","0","","","9789127062818","","","Hardcover","No",""
"Kärlekens Trädgårdar","","Bengt Wallberg","Poesi och kultur","1991","","","2016-06-18","0","","","9789197171502","","","Softcover","No",""
"Tao Enligt Puh","","Benjamin Hoff","Wahlstr�m &amp; Widstrand","1990","","","2016-06-18","0","","","9789146153832","","","Paperback","Yes",""
"Te Enligt Nasse","","Benjamin Hoff","Wahlstrom & Widstrand","1993","","","2016-06-18","0","","","9789146162964","","","Hardcover","Yes",""
"De Dödas Ö","","Bernard Cornwell","FORUM","1999","The Winter King","","2016-06-18","0","","","9789137114026","","","Hardcover","No",""
"Vinterkungen","","Bernard Cornwell","FORUM","1998","The Winter King","","2016-06-18","0","","","9789137112237","","","Hardcover","No",""
"Åke Och Hans Värld","","Bertil Malmberg","Wahlstr","1985","","","2016-06-18","0","","","9789146150770","","","","No",""
"Vägen Bort","Maktens Vägar 1","Bertil Mårtensson","Replik","1997","","","2016-06-18","0","","","9789188818164","","","Hardcover","No",""
"Vägen Tillbaka","Maktens Vägar 2","Bertil Mårtensson","Replik","1997","","","2016-06-18","0","","","9789188818171","","","Hardcover","No",""
"Vägen Ut","Maktens Vägar 3","Bertil Mårtensson","Replik","1997","","","2016-06-18","0","","","9789188818188","","","Hardcover","No",""
"Den Grå","","Björn Hellberg","Tre böcker","2001","","","2016-06-18","0","","","9143022677","","","","No",""
"Dikter 1977-1990","","Bodil Malmsten","M�npocket","1991","","","2016-06-18","0","","","9789176426555","","","Paperback","No",""
"Nåd & Onåd","","Bodil Malmsten","Bonnier","1989","","","2016-06-18","0","","","9789100477417","","","","No",""
"Drivhuset","","Brian W. Aldiss","Wahlstrom & Widstrand","1990","","","2016-06-18","0","","","9789146159537","","","","No",""
"Gråskägg","","Brian W. Aldiss","Legenda","1990","","","2016-06-18","0","","","9789158215696","","","","No",""
"Caspian, Prins Av Narnia","Berättelsen Om Narnia 4","C.S. Lewis","Bonniers juniorf","1991","","","2016-06-18","0","","","9789148519469","","","Hardcover","Yes",""
"Den Sista Striden","Berättelsen Om Narnia 7","C.S. Lewis","Bonniers juniorförl.","1991","","","2016-06-18","0","","","9789148519506","","","Hardcover","Yes",""
"Hästen Och Hans Pojke","Berättelsen Om Narnia 3","C.S. Lewis","Bonniers juniorf","1991","","","2016-06-18","0","","","9789148519452","","","Hardcover","Yes",""
"Häxan Och Lejonet","Berättelsen Om Narnia 2","C.S. Lewis","Bonnier Carlsen","1994","","","2016-06-18","0","","","9789163831409","","","Hardcover","Yes",""
"Kung Caspian Och Skeppet Gryningen","Berättelsen Om Narnia 5","C.S. Lewis","Bonniers juniorf","1991","","","2016-06-18","0","","","9789148519476","","","Hardcover","Yes",""
"Min Morbror Trollkarlen","Berättelsen Om Narnia 1","C.S. Lewis","Bonniers juniorf","1991","","","2016-06-18","0","","","9789148519421","","","Hardcover","Yes",""
"Perelandra","","C.S. Lewis","Delta","1981","","","2016-06-18","0","","","9789172282773","","","","No",""
"Silvertronen","Berättelsen Om Narnia 6","C.S. Lewis","Bonniers juniorförl.","1991","","","2016-06-18","0","","","9789148519490","","","Hardcover","Yes",""
"Utflykt Från Tyst Planet","","C.S. Lewis","Delta","1979","","","2016-06-18","0","","","9789172282261","","","","No",""
"Vredens Tid","","C.S. Lewis","Libris","1993","","","2016-06-18","0","","","9789171948922","","","","No",""
"Kontakt","","Carl Sagan","M�npocket","1988","","","2016-06-18","0","","","9789176423899","","","Paperback","Yes",""
"De Osynliga","","Charles Grant","Raben Prisma","1996","","","2016-06-18","0","","","9789151829760","","","","No",""
"Dödlig Vind","","Charles Grant","Raben Prisma","1996","","","2016-06-18","0","","","915182972X","","","","No",""
"Websters Värld","","Clifford D. Simak","Delta","1978","","","2016-06-18","0","","","9789172281592","","","","No",""
"Isstaden","","Clive Cussler","Bonnier","2002","Atlantis Found","","2016-06-18","0","","","9789143022780","","","Hardcover","No",""
"England I Dödlig Fara","","Colin Forbes","Bonnierförl.","2000","","","2016-06-18","0","","","9789143022353","","","","No",""
"Blodörn","","Craig Russell","Bonnierförlagen","2007","","","2016-06-18","0","","","9789143024937","","","","No",""
"Jackaroo","","Cynthia Voigt","Bonniers juniorf�rl.","1992","","","2016-06-18","0","","","9789148519872","","","Hardcover","Yes",""
"Lyckans Hjul","","Cynthia Voigt","Bonniers juniorf�rl.","1992","","","2016-06-18","0","","","9789148519940","","","","No",""
"På Falkens Vingar","","Cynthia Voigt","Bonnier Carlsen","1997","","","2016-06-18","0","","","9789163833977","","","","No",""
"Begynnelse","","Dan Brown","",,"","","2018-04-21","0","https://books.google.com/books/content?id=H-XGtAEACAAJ&printsec=frontcover&img=1&source=gbs_api","","9789100173036","","","","No",""
"Da Vinci-Koden","","Dan Brown","Bonnier","2003","The Da Vinci Code","","2016-06-18","0","","","9789100102975","","","Hardcover","Yes",""
"Den Förlorade Symbolen","","Dan Brown","Albert Bonniers Förlag","2009","The Lost Symbol","","2016-06-18","0","","","9789100106461","","","Hardcover","Yes",""
"Gåtornas Palats","","Dan Brown","Bonnier","2006","Digital Fortress","","2016-06-18","0","","","9789100107161","","","Hardcover","Yes",""
"I Cirkelns Mitt","","Dan Brown","Bonnier","2005","Deception Point","","2016-06-18","0","","","9789100106065","","","Hardcover","Yes",""
"Inferno","","Dan Brown","Albert Bonniers F","2013","Inferno","","2016-06-18","0","","","9789100137410","","","Hardcover","No",""
"Änglar Och Demoner","","Dan Brown","Bonnier","2005","Angels & Demons","","2016-06-18","0","","","9789100105020","","","Hardcover","Yes",""
"Glasnyckeln","","Dashiell Hammett","Norstedt","1997","","","2016-06-18","0","","","9789119721525","","","","No",""
"Riddarfalken Från Malta","","Dashiell Hammett","Norstedt","1996","","","2016-06-18","0","","","9789119701121","","","","No",""
"Det Magiska Fönstret","Bok 1","Dave Duncan","Bonnier","1997","Magic Casement","Part One of A Man of His Sword","2016-06-18","0","","","9789100565411","","","Hardcover","No",""
"Faerie-Den Magiska Ön","Bok 2","Dave Duncan","A. Bonnier","1998","Faery Lands Forlorn","Part Two of A Man of His Sword","2016-06-18","0","","","9789100566791","","","Hardcover","No",""
"Vid Stjärnhavets Strand","","David Brin","Wiken","1990","Startide Rising","","2016-06-18","0","","","9170246912","","","Hardcover","Yes",""
"Aldurs Dal","Belgarath Besvärjaren - 1","David Eddings","B. Wahlstrom","1996","Belgarath the Sorcerer","","2016-06-18","0","","","9789132321016","","","Hardcover","No",""
