"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"Batgirl Vol. 3","Death Of The Family","Gail Simone","DC Comics","2014","","","2016-06-18","0","https://books.google.ru/books/content?id=iaORAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401246280","","","","No","Gail Simone continues her Batgirl run in a tale that ties into the best-selling Bat-Family event ""Death of the Family."" When the Joker returns, Barbara Gordon must confront her past as she deals with the crazed criminal responsible for crippling her. Plus, once the dust settles, Barbara must deal with her family demons as her psychotic brother James Jr. comes after her. Collects BATGIRL #14-19, BATMAN #17 and a story from YOUNG ROMANCE #1."
"Batgirl Vol. 4","Wanted","","",,"","","2018-08-23","0","","","9781401250409","","","","No",""
"Batgirl Vol. 5","Deadline","","",,"","","2018-08-23","0","","","9781401255114","","","","No",""
"Batgirl/Robin Year One","","Scott Beatty, Chuck Dixon","DC Comics",,"","","2016-06-18","0","https://books.google.ru/books/content?id=zCrUBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401240332","","","","No","Here it is: Robin's baptism by fire as he dons the costume of Robin, the Boy Wonder for the first time and patrols the night by Batman's side. In his earliest adventures, Robin learns very quickly that what he thought would be fun is actually a matter of life and death. And in the action-packed origin of the original Batgirl, explore Barbara Gordon's transformation from average citizen into costumed super-heroine."
"Batman","A Death in the Family","George Perez, Marv Wolfman, Jim Starlin","DC",,"","","2016-10-09","0","https://books.google.ru/books/content?id=WgTUBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","070989333208","","","","No","Batman readers were allowed to vote on the outcome of the story and they decided that Robin should die! As the second person to assume the role of Batman's sidekick, Jason Todd had a completely different personality than the original Robin. Rash and prone to ignore Batman's instructions, Jason was always quick to act without regard to consequences. In this fatal instance, Robin ignores his mentor's warnings when he attempts to take on the Joker by himself and pays the ultimate price. Driven by anger with Superman by his side, Batman seeks his vengeance as he looks to end the Joker's threat forever."
"Batman","A Lonely Place of Dyeing","Marv Wolfman, George Perez","",,"","","2016-10-09","0","","","","","","","No",""
"Batman","Gotham by Gaslight","Brian Augustyn","",,"","","2016-10-09","0","https://books.google.ru/books/content?id=mcf1PgAACAAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","","","","","No","What would the Gotham City of one hundred years ago have been like?. In an age of mystery and superstition, how would the people of Gotham react to a weird creature of the night, a bat-garbed vigilante feared by the guilty and the innocent alike?. Some would live in terror. Others would rest easier. Only one man would take no notice at all, a man with other matters to attend to. His name?. No one knows for sure. Most people know him only as Jack. Jack the Ripper. Batman, Gotham by gaslight collects the classic tale of the Victorian era Bat-Man's encounter with the Butcher of Whitechapel alongside its acclaimed sequel, Master of the future, in which the Dark Knight encounters a crazed prophet determined to prevent Gotham City from entering the twentieth century."
"Batman","Gothic","Grant Morrison, Klaus Janson","DC",,"","","2016-10-09","0","","Comics & Graphic Novels","","","","","No","Don't miss this new edition of GOTHIC, collecting LEGENDS OF THE DARK KNIGHT #6-10 by Grant Morrison with art by Klaus Janson and featuring a redesigned cover! The Dark Knight Detective must defeat a seemingly immortal killer while dealing with a horror from his own youth."
"Batman","Heart of Hush","Dustin Nguyen, Derek Fridolfs","",,"","","2017-07-14","0","","","9781401221249","","","","No",""
"Batman","Rebirth Deluxe Edition Book 1","","",,"","","2017-11-19","0","","","9781401271329","","","","No",""
"Batman","Son of the Demon","Mike W. Barr, Jerry Bingham","Dc Comics",,"","","2016-10-09","0","https://books.google.ru/books/content?id=M7EFAAAACAAJ&printsec=frontcover&img=1&source=gbs_api","Batman (Fictitious character)","","","","","No","'Batman - son of the demon' tells a tale in which Batman must form an uneasy alliance with his greatest adversary. When a demented terrorist creates a weapon that allows him to control the weather, the Dark Knight Detective joins forces with Ra's al Ghul and his daughter Talia in order to stop the madman from creating worldwide havoc. But as the final showdown occurs, Batman finds himself torn between stopping the ruthless terrorist and protecting Talia, the women who is now carrying his unborn child."
"Batman","The Black Mirror","Scott Snyder, Jock, David Andrew Baron, Jared K. Fletcher, Sal Cipriano","Dc Comics","2012","","","2016-06-18","0","https://books.google.ru/books/content?id=fQ9quQAACAAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401232078","","","","No","A series of brutal murders push Batman's detective skills to the limit and force him to confront one of Gotham City's oldest evils. In a second story, the corpse of a killer whale shows up on the floor of one of Gotham City's foremost banks. The event begins a strange and deadly mystery that will bring Batman face to face with the new, terrifying faces of organized crime in Gotham."
"Batman","The Killing Joke","Alan Moore, John Higgins","Dc Comics",,"","","2016-10-09","0","https://books.google.ru/books/content?id=te1QAAAAMAAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","","","","","No","/Alan Moore /Brian Bolland, illustrator In one of the most powerful Batman stories ever told, the Joker exacts brutal revenge against Batman through some of his closest friends. Along the way, the Joker's origin is reveale"
"Batman","The Last Angel","Eric Lustbader, Lee Moder, Scott Hanna","",,"","","2016-10-09","0","https://books.google.ru/books/content?id=hvuEQgAACAAJ&printsec=frontcover&img=1&source=gbs_api","Batman (Fictitious character)","761941202457","","","","No","YA. Graphic novel. When the Dark Knight becomes possessed by an ancient Aztec bat-god, Catwoman must stop him before he commits a heinous crime."
"Batman","The Long Halloween","Jeph Loeb, Tim Sale","",,"","","2017-07-14","0","","","9781401232597","","","","No",""
"Batman","Vow From the Grave","Denny O'Neal, Neal Adams, Marv Wolfman, Len Wein","",,"","","2016-10-09","0","","","9781852861421","","","","No",""
"Batman","Year Two","Mike W. Barr","Dc Comics",,"","","2016-10-09","0","","Juvenile Fiction","","","","","No","Batman must create an alliance with his parents' murderer to stop the Reaper, who pursued the criminals of Gotham City a generation earlier with cruel and violent methods."
"Batman","År Ett","Frank Miller, Bob Kane, David Mazzucchelli, Richmond Lewis","",,"","","2016-10-09","0","https://books.google.ru/books/content?id=qGfBNQAACAAJ&printsec=frontcover&img=1&source=gbs_api","","9789151060965","","","","No",""
"Batman & Dracula","Red Rain","Doug Moench, Kelley Jones, Malcolm Jones (III.)","",,"","","2016-10-09","0","https://books.google.ru/books/content?id=dFc4nQEACAAJ&printsec=frontcover&img=1&source=gbs_api","Horror comic books, strips, etc","","","","","No",""
"Batman & Robin Volume 1","Batman Reborn","Frank Quitely; Grant Morrison; Philip Tan","DC Comics","2011","","","2016-06-18","0","","","9781401229870","","","Softcover","No",""
"Batman & Robin Volume 2","Batman vs. Robin","Grant Morrison","DC Comics","2011","","","2016-06-18","0","","","9781401232719","","","","No",""
"Batman & Robin Volume 3","Batman Must Die!","Grant Morrison","DC Comics","2011","","","2016-06-18","0","","","9781401230913","","","Hardcover","No",""
"Batman & Robin Volume 4","Dark Knight vs. White Knight","Various; J.G. Jones","DC Comics","2012","","","2016-06-18","0","","","9781401233730","","","Hardcover","No",""
"Batman And Robin Volume 1","Born To Kill","Peter Tomasi","DC Comics","2012","","","2016-06-18","0","","","9781401238384","","","","No",""
"Batman And Robin Volume 2","Pearl","Tomasi Peter","",,"","","2016-06-18","0","","","9781401240899","","","Hardcover","No",""
"Batman And Robin Volume 3","Death Of The Family","Tomasi Peter","",,"","","2016-06-18","0","","","9781401246174","","","","No",""
"Batman And Robin Volume 4","Requiem For Damian","Tomasi Peter","",,"","","2016-06-18","0","","","9781401246181","","","Hardcover","No",""
"Batman and Robin Volume 5","The Big Burn","Peter J. Tomasi","",,"","","2017-07-14","0","","","9781401253332","","","","No",""
"Batman and Robin Volume 6","The Hunt For Robin","Peter J. Tomasi","",,"","","2017-07-14","0","","","9781401258009","","","","No",""
"Batman and Robin Volume 7","Robin Rises","Peter J. Tomasi","",,"","","2017-07-14","0","","","9781401261146","","","","No",""
"Batman Houdini","The Devils Workshop","Howard Chaykin","",,"","","2016-10-09","0","","","761941200958","","","","No",""
"Batman Hush","","Jeph Loeb, Jim Lee, Scott Williams","",,"","","2017-07-14","0","","","9781401223175","","","","No",""
"Batman Knightfall Volume One","","","",,"","","2018-04-21","0","","","9781401233792","","","","No",""
"Batman Knightfall Volume Three","Knightsend","","",,"","","2019-08-29","0","","","9781401237219","","","","No",""
"Batman Knightfall Volume Two","Knightquest","","",,"","","2018-04-21","0","","","9781401235369","","","","No",""
"Batman Legacy Volume One","","","",,"","","2018-12-16","0","","","9781401272029","","","","No",""
"Batman Legacy Volume Two","","","",,"","","2018-12-16","0","","","9781401277611","","","","No",""
"Batman The Dark Knight","Master Race","","",,"","","2017-11-19","0","","","9781401265137","","","","No",""
"Batman Vol. 1","The Court Of Owls","Scott Snyder, Greg Capullo","DC Comics","2012","","","2016-06-18","0","https://books.google.ru/books/content?id=ZfmrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401235420","","","","No","Following his ground-breaking, critically acclaimed run on Detective Comics, writer Scott Snyder (American Vampire) alongside artist Greg Capullo (Spawn) begins a new era of The Dark Knight as with the relaunch of Batman, as a part of DC Comics—The New 52! After a series of brutal murders rocks Gotham City, Batman begins to realize that perhaps these crimes go far deeper than appearances suggest. As the Caped Crusader begins to unravel this deadly mystery, he discovers a conspiracy going back to his youth and beyond to the origins of the city he's sworn to protect. Could the Court of Owls, once thought to be nothing more than an urban legend, be behind the crime and corruption? Or is Bruce Wayne losing his grip on sanity and falling prey to the pressures of his war on crime? Collects issues #1-7 of Batman."
"Batman Vol. 10: Epilogue","","Scott Snyder","",,"","","2018-04-21","0","","","9781401268329","","","","No",""
"Batman Vol. 2","The City of Owls","Scott Snyder, Greg Capullo, Rafael Albuquerque","DC Comics","2013","","","2016-06-18","0","https://books.google.ru/books/content?id=Qf-rAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401237776","","","Hardcover","No","""NIGHT OF THE OWLS"" continues here! Batman must stop the TALONS that have breeched the Batcave in order to save an innocent life ... and Gotham City! In the backup story, learn more about the PENNYWORTH family and the secrets they've kept from the Wayne family! Collects BATMAN #8-12 and BATMAN ANNUAL #1."
"Batman Vol. 3","Death In The Family","Scott Snyder, Greg Capullo","DC Comics","2013","","","2016-06-18","0","","Comics & Graphic Novels","9781401242343","","","Hardcover","No","A direct tie to Scott Snyder and Greg Capullo's ""Death in the Family"" Batman story comes the disturbingly creepy and psychological thriller of Batman and Robin by the all star team of Peter Tomasi and Patrick Gleason. The Joker returns to test Batman and the extended Bat-family but when he squares off against Batman's son Damian aka Robin! With Batman's life hanging in the balance, The Clown Prince of Crime pushes Robin to his limits and beyond. And with the 300th anniversary of the founding of Gotham approaches, tragedy strikes the Bat-family. Collects BATMAN AND ROBIN #15-17, BATMAN AND ROBIN ANNUAL #1 and BATMAN #17."
"Batman Vol. 4","Zero Year - Secret City","Scott Snyder","DC Comics","2014","","","2016-06-18","0","https://books.google.ru/books/content?id=18wIAwAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401249335","","","","No","In this first volume of the critically acclaimed ZERO YEAR storyline, the #1 New York Times bestselling creative team of Scott Snyder and Greg Capullo present an astonishing new vision of the Dark Knight's origin—and his first encounters with the Riddler, the Red Hood, and others! Before the era of superheroes began—before the Batman spread his wings to protect the innocent and punish evil—Gotham City's prodigal son, Bruce Wayne, had been missing for years. But this was exactly the cover of darkness Bruce needed. Patrolling Gotham's streets, in a series of disguises, he began a career as a faceless vigilante. Collects BATMAN issues #21-#24."
"Batman Vol. 5","Zero Year - Dark City","Scott Snyder","DC Comics",,"","","2016-06-18","0","https://books.google.ru/books/content?id=vRFPBAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401253356","","","","No","Before the Batcave and Robin, the Joker and the Batmobile ... there was ZERO YEAR. The Riddler has plunged Gotham City into darkness. How will a young Dark Knight bring his beloved hometown from the brink of chaos and madness and back into the light? From the critically acclaimed, New York Times #1 best-selling creative team of Scott Snyder and Greg Capullo, BATMAN VOL. 5: ZERO YEAR--DARK CITY is the concluding volume to Batman's origin story, as you've never seen it before. Collects Batman #25-27, 29-33."
