author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
Brandon Peterson,Brian Michael Bendis,All-New X-Men Volume 4,All-New X-Men Vol. 4, All-Different,All Different,Marvel,Marvel Entertainment,2014-05-20,2014.0,,,2016-06-18,0.0,9780785188605.jpg,https://books.google.ru/books/content?id=Og3lAwAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9780785188605.0,0785188606,9780785188605.0,,,Hardcover,Hardcover,144.0,No,,"Collects All-New X-Men #18-21, X-Men: Gold.",English,en
Scott Snyder,,All Star Batman Vol. 1,All-star Batman Vol. 1: My own worst enemy, My Own Worst Enemy (Rebirth),,DC Comics,,2017-04-25,,,,2018-04-21,0.0,9781401269784.jpg,,,9781401269784.0,1401269788,9781401269784.0,,,Hardcover,,160.0,No,,,English,en
Scott Snyder,Scott Snyder,All-Star Batman Vol. 2,All-star Batman Vol. 2: Ends of the Earth, Ends of the Earth (Rebirth),,DC Comics,,2017-09-12,,,,2018-04-21,0.0,9781401274436.jpg,,,9781401274436.0,1401274439,9781401274436.0,,,Hardcover,,144.0,No,,,English,en
Scott Snyder,Scott Snyder,All Star Batman Vol. 3,All-star Batman Vol. 3: The First Ally, The First Ally,,DC Comics,,2018-03-20,,,,2018-12-16,0.0,9781401277260.jpg,,,9781401277260.0,1401277268,9781401277260.0,,,Hardcover,,176.0,No,,,English,en
Howard Chaykin,Howard Chaykin,American Flag Southern Comfort,American Flag,,Southern Comfort,First Comics,,1987-10-01,,,,2016-10-09,0.0,9780915419296.jpg,,,9780915419296.0,0915419297,9780915419296.0,,,Paperback,,,No,,,English,en
,Howard Chaykin,,American Flag,,State of the Union,,,,,,,2016-10-09,0.0,,,,,,,,,,,,No,,,,
Charles Soule,Charles Soule,Astonishing X-Men by Charles Soule Vol. 1,Astonishing X-Men Vol. 1, Life of X,Life of X,Marvel,,2018-03-06,,,,2019-09-18,0.0,9781302908508.jpg,,,9781302908508.0,1302908502,9781302908508.0,,,Paperback,,144.0,No,,,English,en
Charles Soule,Charles Soule,Astonishing X-Men by Charles Soule Vol. 2,Astonishing X-Men Vol. 2, A Man Called X,A Man Called X,Marvel,,2018-08-14,,,,2019-09-18,0.0,9781302908515.jpg,,,9781302908515.0,1302908510,9781302908515.0,,,Paperback,,136.0,No,,,English,en
Ulf Lundkvist,Ulf Lundkvist,Baron bosse story,Baron Bosse story,,,Bokförlaget Forum,,1996-01-01,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=qxloYgEACAAJ&printsec=frontcover&img=1&source=gbs_api,,9789175881485.0,9175881489,9789175881485.0,,,Hardcover,,,No,,,Swedish,sv
Gail Simone,"Gail Simone, Ardian Syaf",Batgirl Vol. 1,Batgirl Vol. 1, The Darkest Reflection (The New 52),The Darkest Reflection,DC Comics,DC Comics,2013-02-12,2012.0,,,2016-06-18,0.0,9781401238148.jpg,https://books.google.ru/books/content?id=IfyrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401238148.0,1401238149,9781401238148.0,,,Paperback,,144.0,No,,"As a part of the acclaimed DC Comics—The New 52 event of September 2011, Barbara Gordon is finally back as Batgirl! The nightmare-inducing brute known as Mirror is destroying the lives of Gotham City citizens seemingly at random. Will Barbara be able to survive her explosive confrontation with this new villain, as well as facing dark secrets from her past? A new chapter in the riveting adventures of Batgirl continue in stunning fashion, with script by fan-favorite Gail Simone and stellar art by superstar Ardian Syaf! This volume colles issues 1-6 of Batgirl, part of the DC Comics—The New 52 event.",English,en
Gail Simone,"Gail Simone, Ardian Syaf, Ed Benes",Batgirl Vol. 2,Batgirl Vol. 2, Knightfall Descends (The New 52) (Batgirl: The New 52),Knightfall Descends,DC Comics,DC Comics,2013-10-29,2013.0,,,2016-06-18,0.0,9781401238179.jpg,https://books.google.ru/books/content?id=sf2rAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401238179.0,1401238173,9781401238179.0,,,Paperback,Paperback,192.0,No,,"Batgirl Barbara Gordon faces foe after foe now that she's back in the role of Batgirl. A deadly new gentleman killer, Grotesque, stalks the streets of Gotham City; The Court of Owls sets its sight on her father Commissoner Gordon; and an innocent woman sentenced to Arkham emerges more dangerous than the innmates she was locked up with! A new chapter in the riveting adventures of Batgirl continue in stunning fashion, with script by fan-favorite Gail Simone and stellar art by superstar Ardian Syaf!",English,en
Gail Simone,Gail Simone,Batgirl Vol. 3,Batgirl Vol. 3, Death of the Family (The New 52) (Batgirl (DC Comics Quality Paper)),Death Of The Family,DC Comics,DC Comics,2014-05-27,2014.0,,,2016-06-18,0.0,9781401246280.jpg,https://books.google.ru/books/content?id=iaORAQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401246280.0,1401246281,9781401246280.0,,,Paperback,,224.0,No,,"Gail Simone continues her Batgirl run in a tale that ties into the best-selling Bat-Family event ""Death of the Family."" When the Joker returns, Barbara Gordon must confront her past as she deals with the crazed criminal responsible for crippling her. Plus, once the dust settles, Barbara must deal with her family demons as her psychotic brother James Jr. comes after her. Collects BATGIRL #14-19, BATMAN #17 and a story from YOUNG ROMANCE #1.",English,en
Gail Simone,,Batgirl Vol. 4,Batgirl Vol. 4, Wanted (The New 52),Wanted,DC Comics,,2014-12-23,,,,2018-08-23,0.0,9781401250409.jpg,,,9781401250409.0,1401250408,9781401250409.0,,,Paperback,,192.0,No,,,English,en
Gail Simone,,Batgirl Vol. 5,Batgirl Vol. 5, Deadline (The New 52),Deadline,DC Comics,,2015-06-02,,,,2018-08-23,0.0,9781401255114.jpg,,,9781401255114.0,1401255116,9781401255114.0,,,Paperback,,256.0,No,,,English,en
Chuck Dixon,"Scott Beatty, Chuck Dixon",Batgirl/Robin Year One,Batgirl/Robin Year One,,,DC Comics,DC Comics,2013-06-25,,,,2016-06-18,0.0,9781401240332.jpg,https://books.google.ru/books/content?id=zCrUBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401240332.0,140124033X,9781401240332.0,,,Paperback,,424.0,No,,"Here it is: Robin's baptism by fire as he dons the costume of Robin, the Boy Wonder for the first time and patrols the night by Batman's side. In his earliest adventures, Robin learns very quickly that what he thought would be fun is actually a matter of life and death. And in the action-packed origin of the original Batgirl, explore Barbara Gordon's transformation from average citizen into costumed super-heroine.",English,en
,"George Perez, Marv Wolfman, Jim Starlin",,Batman,,A Death in the Family,,DC,,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=WgTUBQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,,,70989333208.0,,,,,,No,,"Batman readers were allowed to vote on the outcome of the story and they decided that Robin should die! As the second person to assume the role of Batman's sidekick, Jason Todd had a completely different personality than the original Robin. Rash and prone to ignore Batman's instructions, Jason was always quick to act without regard to consequences. In this fatal instance, Robin ignores his mentor's warnings when he attempts to take on the Joker by himself and pays the ultimate price. Driven by anger with Superman by his side, Batman seeks his vengeance as he looks to end the Joker's threat forever.",,
Marv Wolfman,"Marv Wolfman, George Perez",Batman,Batman, A Lonely Place of Dying,A Lonely Place of Dying,DC Comics,,1990-02-01,,,,2016-10-09,0.0,9780930289638.jpg,,,9780930289638.0,0930289633,9780930289638.0,,,Paperback,,116.0,No,,,English,en
Brian Augustyn,Brian Augustyn,Batman,Batman, Gotham by Gaslight (Elseworlds),Gotham by Gaslight,DC Comics,,2013-03-12,,,,2016-10-09,0.0,9781401211530.jpg,https://books.google.ru/books/content?id=mcf1PgAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401211530.0,1401211534,9781401211530.0,,,Paperback,,112.0,No,Batman : Gotham by Gaslight (Elseworlds) by Brian Augustyn   Published in 2006 by DC Comics,"What would the Gotham City of one hundred years ago have been like?. In an age of mystery and superstition, how would the people of Gotham react to a weird creature of the night, a bat-garbed vigilante feared by the guilty and the innocent alike?. Some would live in terror. Others would rest easier. Only one man would take no notice at all, a man with other matters to attend to. His name?. No one knows for sure. Most people know him only as Jack. Jack the Ripper. Batman, Gotham by gaslight collects the classic tale of the Victorian era Bat-Man's encounter with the Butcher of Whitechapel alongside its acclaimed sequel, Master of the future, in which the Dark Knight encounters a crazed prophet determined to prevent Gotham City from entering the twentieth century.",English,en
Grant Morrison,"Grant Morrison, Klaus Janson",Batman,Batman, Gothic (New Edition),Gothic,DC Comics,DC,2018-04-03,,,,2016-10-09,0.0,9781401278458.jpg,,Comics & Graphic Novels,9781401278458.0,1401278450,9781401278458.0,,,Paperback,,144.0,No,,"Don't miss this new edition of GOTHIC, collecting LEGENDS OF THE DARK KNIGHT #6-10 by Grant Morrison with art by Klaus Janson and featuring a redesigned cover! The Dark Knight Detective must defeat a seemingly immortal killer while dealing with a horror from his own youth.",English,en
Paul Dini,"Dustin Nguyen, Derek Fridolfs",Batman,Batman, Heart of Hush,Heart of Hush,DC Comics,,2010-03-16,,,,2017-07-14,0.0,9781401221249.jpg,,,9781401221249.0,1401221246,9781401221249.0,,,Paperback,,144.0,No,"Written by Paul Dini; Art by Dustin Nguyen and Derek Fridolfs; Cover by Dustin NguyenSecrets shared years ago between Bruce Wayne and Tommy Elliott - a.k.a. Hush - come to light with dangerous consequences in the present! Guest-starring Catwoman, this new hardcover ties directly into the ""Batman R.I.P."" event and collects DETECTIVE COMICS #846-850. As Batman finds himself barely capable of handling the diabolical threat of the Black Glove, Hush attacks Bruce Wayne in his personal life by setting his sights on Bruce&apos;s ex-lover: Catwoman!",,English,en
Tom King,,Batman,Batman, The Rebirth Deluxe Edition Book 1,Rebirth Deluxe Edition Book 1,DC Comics,,2017-09-05,,,,2017-11-19,0.0,9781401271329.jpg,,,9781401271329.0,1401271324,9781401271329.0,,,Hardcover,,400.0,No,,,English,en
,"Mike W. Barr, Jerry Bingham",,Batman,,Son of the Demon,,Dc Comics,,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=M7EFAAAACAAJ&printsec=frontcover&img=1&source=gbs_api,Batman (Fictitious character),,,,,,,,,No,,"'Batman - son of the demon' tells a tale in which Batman must form an uneasy alliance with his greatest adversary. When a demented terrorist creates a weapon that allows him to control the weather, the Dark Knight Detective joins forces with Ra's al Ghul and his daughter Talia in order to stop the madman from creating worldwide havoc. But as the final showdown occurs, Batman finds himself torn between stopping the ruthless terrorist and protecting Talia, the women who is now carrying his unborn child.",,
Scott Snyder,"Scott Snyder, Jock, David Andrew Baron, Jared K. Fletcher, Sal Cipriano",Batman,Batman, The Black Mirror,The Black Mirror,DC Comics,Dc Comics,2013-03-05,2012.0,,,2016-06-18,0.0,9781401232078.jpg,https://books.google.ru/books/content?id=fQ9quQAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781401232078.0,1401232078,9781401232078.0,,,Paperback,,304.0,No,,"A series of brutal murders push Batman's detective skills to the limit and force him to confront one of Gotham City's oldest evils. In a second story, the corpse of a killer whale shows up on the floor of one of Gotham City's foremost banks. The event begins a strange and deadly mystery that will bring Batman face to face with the new, terrifying faces of organized crime in Gotham.",English,en
,"Alan Moore, John Higgins",,Batman,,The Killing Joke,,Dc Comics,,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=te1QAAAAMAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,,,,,,,,,No,,"/Alan Moore /Brian Bolland, illustrator In one of the most powerful Batman stories ever told, the Joker exacts brutal revenge against Batman through some of his closest friends. Along the way, the Joker's origin is reveale",,
Eric Lustbader,"Eric Lustbader, Lee Moder, Scott Hanna",Batman,Batman, The Last Angel,The Last Angel,dc comics,,1994,,,,2016-10-09,0.0,9781852865825.jpg,https://books.google.ru/books/content?id=hvuEQgAACAAJ&printsec=frontcover&img=1&source=gbs_api,Batman (Fictitious character),9781852865825.0,1852865822,9781852865825.0,,,Paperback,,96.0,No,"When Batman becomes possessed by an ancient Aztec bat-god, Catwoman must prevent him committing a heinous crime. The story looks at their stormy relationship, as Catwoman and Batman are forced into a reversal of their usual roles.","YA. Graphic novel. When the Dark Knight becomes possessed by an ancient Aztec bat-god, Catwoman must stop him before he commits a heinous crime.",English,en
Jeph Loeb,"Jeph Loeb, Tim Sale",Batman,Batman, The Long Halloween,The Long Halloween,DC Comics,,2011-10-11,,,,2017-07-14,0.0,9781401232597.jpg,,,9781401232597.0,1401232590,9781401232597.0,,,Paperback,,384.0,No,,,English,en
Neal Adams,"Denny O'Neal, Neal Adams, Marv Wolfman, Len Wein",Batman,Batman, Vow from the Grave,Vow From the Grave,Titan Books,,1989-07-31,,,,2016-10-09,0.0,9781852861421.jpg,,,9781852861421.0,1852861428,9781852861421.0,,,Paperback,,96.0,No,"One in a series of Batman graphic novels portraying the Batman of the 1970s. This volume contains five horror stories, including ""The House that Haunted Batman"" and ""Night of the Reaper"".",,English,en
